Course Name,Course Title,First Name,Last Name,Term,InvitedCount,RespondentCount,%ResponseRatio,"Excluding class sessions, estimate the average number of hours per week spent in preparation or review. - Mean","Overall, did the instructor convey the course material clearly? - Mean","Overall, did the instructor convey the course material in an interesting way? - Mean","Did you take away useful tools, concepts, and/or insights from this course? - Mean",How much did you get out of this course? - Mean,Would you recommend this course to other students? - Mean
33917 50,Applied Microeconomics in Economic History,Richard,Hornbeck,Winter 2022,1,1,100,2,3,1,4,2,3
33921 50,Adv Industrial Organization 1,Syverson, Chad,Autumn 2019,34,29,85.3,3.6,4.8,4.9,4.4,4.3,4.7
33921 50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2020,13,8,61.54,5.88,4.5,4.63,4.5,4.13,4.25
33921 50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2021,17,9,52.94,5.44,4.56,4.44,4.78,4.56,4.44
33921-01,Advanced Industrial Organization I,Chad,Syverson,Autumn 2016,32,15,46.88,30.33,4.93,4.87,4.67,4.6,4.8
33921-50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2017,25,24,96,16.25,4.79,4.75,4.58,4.42,4.71
33921-50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2018,43,45,104.65,15.47,4.49,4.6,4.27,4.13,4.51
33923 50,Advanced Industrial Organization III,Dennis W,Carlton,Spring 2020,7,4,57.14,5.5,5,5,4.75,4.75,4.75
33923 50,Advanced Industrial Organization III,Dennis W,Carlton,Spring 2021,3,2,66.67,5.5,5,5,4.5,4.5,4.5
33923-01,Advanced Industrial Organization II,Dennis W,Carlton,Spring 2016,20,12,60,6,4.67,4.5,4.75,4.58,4.67
33923-50,Advanced Industrial Organization II,Dennis W,Carlton,Spring 2017,10,11,110,13.45,4.64,4.73,4.64,4.55,4.45
33923-50,Advanced Industrial Organization II,Dennis W,Carlton,Spring 2018,15,12,80,14.58,4.83,4.5,4.25,4,4.33
33923-50,Advanced Industrial Organization II,Dennis W,Carlton,Spring 2019,10,10,100,6.2,5,4.9,4.8,4.7,4.6
33942-01,Applied Macroeconomics: Micro Data for Macro Models,Erik G,Hurst,Autumn 2016,17,15,88.24,9.93,4.93,5,4.93,5,5
33942-01,Applied Macroeconomics: Micro Data for Macro Models,Thomas,Winberry,Autumn 2016,17,15,88.24,9.93,4.93,5,4.93,5,5
33942-50,Applied Macroeconomics: Micro Data for Macro Models,Steven Joseph,Davis,Winter 2018,13,11,84.62,6.27,4.82,4.45,4.45,4.45,4.36
33946 50,Int'l Macroeconomics & Trade,Dingel, Jonathan,Autumn 2019,9,8,88.9,7.8,5.0,4.9,4.8,4.5,4.9
33946 50,International Macroeconomics and Trade,Jonathan,Dingel,Autumn 2020,4,2,50,15,5,4.5,5,5,5
33946-01,International Macroeconomics and Trade ,Ralph,Ossa,Autumn 2016,7,7,100,17.71,4.86,4.86,4.71,4.71,4.71
33946-50,International Macroeconomics and Trade ,Jonathan,Dingel,Autumn 2018,11,10,90.91,23.9,4.6,4,4.5,4.5,4.6
33947-50,Applied Macroeconomics II,Erik G,Hurst,Autumn 2017,12,10,83.33,5.7,4.8,4.8,4.8,4.7,4.7
33947-50,Applied Macroeconomics II,Rohan,Kekre,Winter 2019,12,9,75,7.11,4.78,4.78,4.78,4.78,4.89
33947-50,Applied Macroeconomics II,Thomas,Winberry,Autumn 2017,12,10,83.33,5.7,4.8,4.8,4.8,4.7,4.7
33947-50,Applied Macroeconomics II,Thomas,Winberry,Winter 2019,12,9,75,7.11,4.78,4.78,4.78,4.78,4.89
33948-01,Financial Markets in the Macroeconomy,Veronica,Guerrieri,Winter 2016,23,16,69.57,22.5,3.38,3.44,3.75,3.5,3.56
33948-50,Financial Markets in the Macroeconomy,Veronica,Guerrieri,Spring 2017,7,5,71.43,24.8,5,5,5,5,5
33948-50,Financial Markets in the Macroeconomy,Veronica,Guerrieri,Spring 2019,11,9,81.82,15.56,4.56,4,4.11,4.22,3.67
33949 50,Applied Macroeconomics: Heterogeneity and Macro,Rohan,Kekre,Winter 2020,5,4,80,5,5,5,5,5,5
33949 50,Applied Macroeconomics: Heterogeneity and Macro,Rohan,Kekre,Winter 2021,4,3,75,9,4.33,4.67,3.67,3.33,3.67
33949 50,Applied Macroeconomics: Heterogeneity and Macro,Joseph,Vavra,Winter 2020,5,4,80,5,5,5,5,5,5
33949 50,Applied Macroeconomics: Heterogeneity and Macro,Joseph,Vavra,Winter 2021,4,3,75,9,4,4,3.67,3.33,3.67
33949-01,Applied Macroeconomics: Heterogeneity and Macro,Joseph,Vavra,Spring 2016,22,15,68.18,36.67,4.47,3.93,4.53,4.13,4.2
33949-50,Applied Macroeconomics: Heterogeneity and Macro,Rohan,Kekre,Spring 2018,14,13,92.86,12.62,4.69,4.38,4.54,4.46,4.54
33949-50,Applied Macroeconomics: Heterogeneity and Macro,Joseph,Vavra,Spring 2017,6,6,100,21,4.83,4.83,4.83,4.83,4.83
33949-50,Applied Macroeconomics: Heterogeneity and Macro,Joseph,Vavra,Spring 2018,14,13,92.86,12.62,4.69,4.38,4.54,4.46,4.54
34101 01,Entrep Fin & Private Equity,Kaplan, Steven,Autumn 2019,69,63,91.3,5.8,4.6,4.6,4.5,4.4,4.6
34101 01,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,68,43,63.24,5.44,4.23,4.37,4.47,4.12,4.21
34101 01,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2021,65,32,49.23,6,4.34,4.56,4.5,4.34,4.47
34101 01,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2020,65,52,80,8.85,4.54,4.77,4.69,4.58,4.63
34101 01,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2021,64,24,37.5,9,4.58,4.5,4.67,4.58,4.63
34101 01,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2020,60,19,31.67,5.42,3.84,3.47,3.84,3.42,3.37
34101 01,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2021,33,9,27.27,4.22,3.89,3.11,3.89,3.56,3.89
34101 01,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2022,64,29,45.31,8.31,4.48,4.66,4.55,4.45,4.48
34101 02,Entrep Fin & Private Equity,Kaplan, Steven,Autumn 2019,70,67,95.7,5.5,4.4,4.5,4.5,4.4,4.5
34101 02,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,69,43,62.32,6.28,4.4,4.49,4.53,4.35,4.49
34101 02,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2021,65,26,40,6.96,4.23,4.58,4.5,4.35,4.46
34101 81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2020,62,46,74.19,9.52,4.59,4.7,4.85,4.7,4.78
34101 81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2021,68,43,63.24,9.02,4.49,4.56,4.63,4.44,4.49
34101 81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2020,65,55,84.62,9.84,4.47,4.84,4.69,4.6,4.71
34101 81,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2020,36,12,33.33,5.08,4.83,4.42,4.58,4.25,4.5
34101 81,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2021,10,5,50,5.6,4.2,4,4.2,4,4.2
34101 85,Entrep Fin & Private Equity,Kaplan, Steven,Autumn 2019,62,62,100,6.7,4.7,4.8,4.7,4.6,4.8
34101 85,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,65,49,75.38,7.73,4.63,4.8,4.82,4.78,4.73
34101 85,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2021,64,44,68.75,7.57,4.52,4.57,4.64,4.48,4.55
34101 85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2021,60,39,65,10.21,4.67,4.74,4.72,4.69,4.72
34101 85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2022,47,24,51.06,9.21,4.58,4.75,4.75,4.71,4.67
34101-01,Entrepreneurial Finance and Private Equity,Yael,Hochberg,Winter 2018,49,43,87.76,4.58,4.02,4.09,4.3,4.05,4.16
34101-01,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2016,69,66,95.65,9.92,4.56,4.55,4.67,4.59,4.58
34101-01,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2017,70,63,90,9.57,4.67,4.68,4.7,4.65,4.75
34101-01,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2018,68,66,97.06,5.68,4.5,4.67,4.83,4.7,4.77
34101-01,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Spring 2017,64,55,85.94,8.84,4.47,4.75,4.71,4.62,4.8
34101-01,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2019,64,42,65.63,14.17,4.6,4.83,4.88,4.83,4.76
34101-01,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2016,24,24,100,6.04,3.83,4.38,4.21,4.04,4.21
34101-01,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2017,46,39,84.78,4.79,3.67,4.21,3.87,3.9,3.97
34101-01,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2016,21,21,100,4,4.62,4.52,4.29,4.19,4.43
34101-01,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2018,60,43,71.67,6.28,4.3,4.19,3.77,3.77,4.05
34101-01,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2019,60,45,75,7.78,4.56,4.71,4.11,4.13,4.42
34101-02,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2016,70,69,98.57,9.16,4.41,4.52,4.59,4.43,4.5
34101-02,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2017,70,72,102.86,7.13,4.5,4.61,4.67,4.57,4.75
34101-02,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2018,67,65,97.01,10.26,4.57,4.69,4.75,4.66,4.75
34101-02,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Spring 2018,54,41,75.93,11.54,4.15,4.68,4.63,4.37,4.44
34101-02,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2016,60,50,83.33,6.14,3.36,3.82,3.4,3.32,3.46
34101-02,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2017,46,46,100,6.41,4.07,4.57,4.11,4.09,4.26
34101-02,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2016,44,40,90.91,4.2,4.6,4.63,4.28,4.18,4.55
34101-02,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2017,63,50,79.37,9.3,4.26,4.12,3.76,3.64,3.84
34101-81,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2017,65,63,96.92,12.38,4.38,4.59,4.63,4.37,4.47
34101-81,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2018,61,59,96.72,10.51,4.73,4.76,4.86,4.69,4.78
34101-81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2016,63,56,88.89,15.41,4.59,4.88,4.88,4.77,4.86
34101-81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2017,68,62,91.18,7.31,4.47,4.89,4.77,4.73,4.81
34101-81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2018,63,56,88.89,11.07,4.55,4.98,4.88,4.82,4.82
34101-81,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2019,62,56,90.32,11.48,4.71,4.93,4.82,4.77,4.84
34101-81,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2016,29,31,106.9,5.13,3.77,4.39,3.87,3.94,4.03
34101-81,Entrepreneurial Finance and Private Equity,Luigi G,Zingales,Winter 2017,27,29,107.41,11.93,4.07,4.45,3.97,4.03,4.24
34101-81,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2016,14,16,114.29,10,4.63,4.88,4.69,4.69,4.69
34101-81,Entrepreneurial Finance and Private Equity,Eric,Zwick,Spring 2017,37,40,108.11,6.9,4.45,4.28,4.08,4.03,4.18
34101-82,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Spring 2016,59,50,84.75,11.96,4.22,4.68,4.54,4.38,4.52
34101-85,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2016,65,61,93.85,15.77,4.72,4.79,4.82,4.75,4.85
34101-85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Spring 2018,63,57,90.48,14.21,4.61,4.91,4.74,4.61,4.86
34101-85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2016,44,41,93.18,10.46,4.63,4.9,4.78,4.68,4.78
34101-85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Summer 2017,62,60,96.77,7.38,4.5,4.75,4.68,4.55,4.68
34101-85,Entrepreneurial Finance and Private Equity,Scott F,Meadow,Winter 2019,62,59,95.16,18,4.61,4.88,4.76,4.71,4.78
34102 01,New Venture Strategy,Schrager, James,Autumn 2019,65,61,9.8,3.7,4.8,5.0,4.9,4.9,4.9
34102 01,New Venture Strategy,James,Schrager,Autumn 2020,64,27,42.19,4.44,4.52,4.78,4.56,4.48,4.44
34102 01,New Venture Strategy,James,Schrager,Autumn 2021,65,30,46.15,3.13,4.1,4.1,4.27,3.97,4.07
34102 01,New Venture Strategy,James,Schrager,Spring 2020,64,27,42.19,4.11,4.41,4.67,4.7,4.59,4.59
34102 01,New Venture Strategy,James,Schrager,Spring 2021,61,23,37.7,3.7,4.83,4.78,4.52,4.39,4.48
34102 01,New Venture Strategy,James,Schrager,Winter 2020,65,60,92.31,3.63,4.8,4.82,4.8,4.7,4.75
34102 01,New Venture Strategy,James,Schrager,Winter 2021,59,19,32.2,3.89,4.63,4.68,4.63,4.37,4.42
34102 01,New Venture Strategy,Gregory,Bunch,Winter 2022,65,31,47.69,3.13,4.52,4.81,4.19,3.97,4.39
34102 02,New Venture Strategy,Gregory,Bunch,Winter 2020,65,33,50.77,4.06,4.55,4.88,4.48,4.24,4.58
34102 02,New Venture Strategy,Gregory,Bunch,Winter 2021,63,42,66.67,5.81,4.52,4.76,4.52,4.36,4.5
34102 02,New Venture Strategy,Karl,Muth,Autumn 2021,44,27,61.36,4.11,4.33,4.56,4.52,4.19,4.37
34102 81,New Venture Strategy,Bunch, Gregory,Autumn 2019,60,44,73.3,4.2,4.8,4.8,4.7,4.6,4.7
34102 81,New Venture Strategy,Gregory,Bunch,Autumn 2020,53,50,94.34,3.82,4.64,4.78,4.46,4.24,4.44
34102 81,New Venture Strategy,Gregory,Bunch,Spring 2020,58,19,32.76,4.21,4.37,4.32,4.32,3.95,4
34102 81,New Venture Strategy,Gregory,Bunch,Spring 2021,53,25,47.17,4.12,4.16,4.4,4.2,3.88,3.96
34102 81,New Venture Strategy,James,Schrager,Summer 2020,65,51,78.46,3.61,4.76,4.84,4.82,4.76,4.84
34102 81,New Venture Strategy,James,Schrager,Summer 2021,64,42,65.63,3.93,4.6,4.62,4.67,4.5,4.55
34102 81,New Venture Strategy,James,Schrager,Winter 2022,56,33,58.93,3.94,4.61,4.67,4.76,4.58,4.55
34102 85,New Venture Strategy,Gregory,Bunch,Autumn 2021,24,17,70.83,4.12,4.88,5,4.76,4.65,4.82
34102 85,New Venture Strategy,James,Schrager,Winter 2020,65,54,83.08,4.43,4.78,4.85,4.91,4.83,4.89
34102 85,New Venture Strategy,James,Schrager,Winter 2021,62,36,58.06,4.08,4.58,4.64,4.69,4.5,4.53
34102 85,New Venture Strategy,James,Schrager,Winter 2022,59,34,57.63,4.29,4.65,4.68,4.68,4.59,4.59
34102-01,New Venture Strategy,James,Schrager,Autumn 2016,65,58,89.23,7.02,4.74,4.91,4.81,4.79,4.88
34102-01,New Venture Strategy,James,Schrager,Autumn 2017,64,62,96.88,6.73,4.77,4.95,4.85,4.82,4.95
34102-01,New Venture Strategy,James,Schrager,Autumn 2018,64,55,85.94,4.95,4.69,4.89,4.78,4.65,4.76
34102-01,New Venture Strategy,James,Schrager,Spring 2016,64,61,95.31,5.28,4.85,4.95,4.8,4.75,4.9
34102-01,New Venture Strategy,James,Schrager,Spring 2017,65,59,90.77,9.63,4.9,4.93,4.81,4.8,4.92
34102-01,New Venture Strategy,James,Schrager,Spring 2018,65,61,93.85,5,4.79,4.85,4.82,4.72,4.82
34102-01,New Venture Strategy,James,Schrager,Spring 2019,65,56,86.15,6.91,4.88,4.96,4.88,4.86,4.86
34102-01,New Venture Strategy,James,Schrager,Winter 2016,65,60,92.31,7.23,4.63,4.93,4.68,4.53,4.7
34102-01,New Venture Strategy,James,Schrager,Winter 2017,64,63,98.44,9.33,4.71,4.86,4.81,4.71,4.78
34102-01,New Venture Strategy,James,Schrager,Winter 2018,65,60,92.31,3.25,4.8,4.92,4.82,4.73,4.85
34102-01,New Venture Strategy,James,Schrager,Winter 2019,65,61,93.85,3.38,4.84,4.98,4.84,4.85,4.9
34102-02,New Venture Strategy,Gregory,Bunch,Winter 2016,62,58,93.55,5.41,4.81,4.88,4.61,4.58,4.79
34102-02,New Venture Strategy,Gregory,Bunch,Winter 2017,65,60,92.31,3.95,4.57,4.85,4.43,4.33,4.53
34102-02,New Venture Strategy,Gregory,Bunch,Winter 2018,62,54,87.1,5.31,4.8,4.98,4.57,4.52,4.69
34102-02,New Venture Strategy,Gregory,Bunch,Winter 2019,64,52,81.25,6,4.5,4.71,4.21,4.02,4.29
34102-81,New Venture Strategy,Gregory,Bunch,Autumn 2016,65,55,84.62,3.89,4.84,4.93,4.84,4.71,4.84
34102-81,New Venture Strategy,Gregory,Bunch,Autumn 2017,56,52,92.86,9.48,4.83,4.94,4.73,4.65,4.75
34102-81,New Venture Strategy,Gregory,Bunch,Autumn 2018,59,53,89.83,5.92,4.87,4.96,4.66,4.49,4.79
34102-81,New Venture Strategy,Gregory,Bunch,Spring 2016,61,56,91.8,7.14,4.93,5,4.77,4.71,4.89
34102-81,New Venture Strategy,Gregory,Bunch,Spring 2017,64,54,84.38,3.8,4.83,4.85,4.69,4.59,4.8
34102-81,New Venture Strategy,Gregory,Bunch,Spring 2018,61,48,78.69,3.92,4.63,4.83,4.65,4.57,4.72
34102-81,New Venture Strategy,Gregory,Bunch,Spring 2019,64,50,78.13,3.3,4.8,4.94,4.72,4.58,4.78
34102-81,New Venture Strategy,James,Schrager,Summer 2016,65,65,100,5.68,4.86,4.95,4.94,4.85,4.92
34102-81,New Venture Strategy,James,Schrager,Summer 2017,65,65,100,8.22,4.78,4.82,4.85,4.75,4.8
34102-81,New Venture Strategy,James,Schrager,Summer 2018,65,61,93.85,6.92,4.9,4.93,4.93,4.82,4.92
34102-81,New Venture Strategy,James,Schrager,Summer 2019,65,61,93.85,8.46,4.9,4.95,4.82,4.82,4.89
34102-85,New Venture Strategy,James,Schrager,Winter 2016,64,62,96.88,5.68,4.9,5,4.94,4.9,5
34102-85,New Venture Strategy,James,Schrager,Winter 2017,65,61,93.85,5.77,4.89,4.9,4.85,4.87,4.9
34102-85,New Venture Strategy,James,Schrager,Winter 2018,64,60,93.75,3.85,4.92,4.97,4.93,4.9,4.97
34102-85,New Venture Strategy,James,Schrager,Winter 2019,62,60,96.77,7.38,4.93,4.95,4.9,4.88,4.93
34103 01,Building the New Venture,Lyman, Lindsey,Autumn 2019,31,27,87.1,4.9,4.6,4.4,4.6,4.4,4.3
34103 01,Building the New Venture,Lindsey,Pippel Lyman,Winter 2021,40,25,62.5,6.12,4.56,4.56,4.52,4.32,4
34103 01,Building the New Venture,Lindsey,Pippel Lyman,Winter 2022,42,13,30.95,5.23,4.31,4.38,4.15,4,4
34103 81,Building the New Venture,Lyman, Lindsey,Autumn 2019,32,28,87.5,6.1,4.6,4.4,4.4,4.3,4.3
34103 81,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2020,36,23,63.89,5.52,4.39,4.39,4.26,4,4.04
34103 81,Building the New Venture,Lindsey,Pippel Lyman,Winter 2022,38,25,65.79,4.96,4.6,4.76,4.6,4.48,4.56
34103 85,Building the New Venture,Lyman, Lindsey,Autumn 2019,42,41,97.6,6.5,4.8,4.5,4.5,4.5,4.6
34103 85,Building the New Venture,Lindsey,Pippel Lyman,Winter 2021,23,12,52.17,7,4.92,4.92,4.92,4.92,4.92
34103 85,Building the New Venture,Daniel,Sachs,Autumn 2021,18,13,72.22,6.23,4.85,4.85,4.85,4.69,4.85
34103-01,Building the New Venture,H Waverly,Deutsch,Autumn 2016,45,43,95.56,12.51,4.86,4.86,4.77,4.6,4.77
34103-01,Building the New Venture,H Waverly,Deutsch,Spring 2016,44,37,84.09,11.59,4.81,4.95,4.73,4.65,4.81
34103-01,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2017,40,37,92.5,12.68,4.65,4.41,4.35,4.19,4.19
34103-01,Building the New Venture,Lindsey,Pippel Lyman,Spring 2017,44,38,86.36,5.26,4.34,4.11,4.05,4.08,4.08
34103-01,Building the New Venture,Lindsey,Pippel Lyman,Spring 2019,35,28,80,8.04,4.68,4.29,4.29,4.04,4.25
34103-01,Building the New Venture,Lindsey,Pippel Lyman,Winter 2018,44,37,84.09,8.73,4.49,4.32,3.92,3.89,4.03
34103-01,Building the New Venture,Lindsey,Pippel Lyman,Winter 2019,39,38,97.44,8.29,4.34,4.32,4.05,3.89,3.76
34103-01,Building the New Venture,Robert,Rosenberg,Winter 2016,34,31,91.18,9.61,3.97,4.35,4.55,4.52,4.52
34103-02,Building the New Venture,H Waverly,Deutsch,Spring 2017,42,38,90.48,9.39,4.84,4.79,4.55,4.5,4.68
34103-02,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2017,36,36,100,13.11,4.72,4.53,4.64,4.39,4.44
34103-81,Building the New Venture,H Waverly,Deutsch,Autumn 2016,44,41,93.18,5.85,4.93,4.88,4.8,4.78,4.8
34103-81,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2017,34,30,88.24,10.83,4.53,4.37,4.47,4.33,4.43
34103-81,Building the New Venture,Lindsey,Pippel Lyman,Winter 2016,43,39,90.7,8.38,4.62,4.38,4.26,4.08,4.28
34103-81,Building the New Venture,Lindsey,Pippel Lyman,Winter 2018,41,43,104.88,11.67,4.74,4.56,4.47,4.44,4.53
34103-81,Building the New Venture,Lindsey,Pippel Lyman,Winter 2019,40,37,92.5,5.76,4.73,4.65,4.41,4.27,4.24
34103-85,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2018,42,41,97.62,7.71,4.49,4.51,4.22,4.02,4.1
34103-85,Building the New Venture,Lindsey,Pippel Lyman,Winter 2017,45,43,95.56,15.44,4.67,4.63,4.49,4.3,4.47
34104 01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2020,42,8,19.05,17.38,4.63,4.5,4.75,4.5,4.63
34104 01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2021,45,21,46.67,18.33,4.05,4.05,4.48,4.67,4.71
34104 81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Ellen,Rudnick,Spring 2020,41,20,48.78,17.2,4.45,4.4,4.45,4.45,4.65
34104 81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Mark,Tebbe,Spring 2020,41,20,48.78,17.2,4.55,4.5,4.45,4.45,4.65
34104 81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Mark,Tebbe,Spring 2021,36,10,27.78,16,4.7,4.9,4.9,4.7,4.8
34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2016,54,46,85.19,21.41,4.3,4.36,4.46,4.57,4.7
34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2017,50,34,68,23.12,4.71,4.68,4.71,4.82,4.85
34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2018,37,37,100,21.46,4.57,4.57,4.65,4.62,4.81
34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Steven Neil,Kaplan,Spring 2019,46,34,73.91,19.18,4.26,4.18,4.62,4.56,4.65
34104-01,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Starr,Marcello,Winter 2018,18,16,88.89,27.19,4.88,4.69,5,5,5
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Ellen,Rudnick,Spring 2016,38,35,92.11,18.31,4.14,4.18,4.89,4.77,4.89
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Ellen,Rudnick,Spring 2017,44,33,75,21.48,4.39,4.36,4.36,4.48,4.48
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Ellen,Rudnick,Spring 2018,42,35,83.33,14.49,4.51,4.6,4.66,4.74,4.8
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Ellen,Rudnick,Spring 2019,55,38,69.09,20.84,4.47,4.5,4.63,4.66,4.71
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Mark,Tebbe,Spring 2017,44,33,75,21.48,4.39,4.36,4.36,4.48,4.48
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Mark,Tebbe,Spring 2018,42,35,83.33,14.49,4.51,4.6,4.66,4.74,4.8
34104-81,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),Mark,Tebbe,Spring 2019,55,38,69.09,20.84,4.47,4.5,4.63,4.66,4.71
34106 01,Commercializing Innovation,Meadow, Scott,Autumn 2019,53,43,81.1,7.8,4.5,4.7,4.7,4.5,4.6
34106 01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2020,54,35,64.81,6.54,4.46,4.14,4.49,4.17,4.29
34106 01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2021,55,29,52.73,7.55,3.93,3.38,4.03,3.62,3.59
34106 01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Spring 2020,51,27,52.94,9.85,4.44,4.33,4.7,4.44,4.44
34106 01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Spring 2021,55,18,32.73,7.89,4.22,4.44,4.39,4.17,4.39
34106 81,Commercializing Innovation,Meadow, Scott,Autumn 2019,52,43,82.7,8.5,4.6,4.9,4.8,4.8,4.8
34106 81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2020,53,40,75.47,8.23,4.73,4.75,4.83,4.75,4.75
34106 81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2021,54,39,72.22,8.46,4.64,4.69,4.82,4.56,4.67
34106 85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Spring 2020,46,12,26.09,8.92,4.83,4.92,5,5,5
34106 85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Spring 2021,54,37,68.52,8.32,4.76,4.68,4.92,4.84,4.89
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2016,55,52,94.55,12.67,4.13,4.62,4.31,4.12,4.29
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2017,55,34,61.82,8.38,4.06,4.5,4.47,4.38,4.21
