Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
42108-01,Corporate Governance,Winter,2022,"Friday, 1:30 -  4:30","Chookaszian, Dennis",46,19,0,52,13,0,53,12,0,53,12,N/A,54,11,0,,,
42108-81,Corporate Governance,Winter,2022,"Friday, 6:00 -  9:00","Chookaszian, Dennis",56,9,0,54,11,0,55,10,0,54,11,N/A,57,8,0,,,
42117-01,Platform Competition ⑤,Winter,2022,"Tuesday, 8:30 - 11:30","Goolsbee, Austan",65,CLO,1502,65,CLO,3103,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
42117-02,Platform Competition ⑤,Winter,2022,"Tuesday, 1:30 -  4:30","Goolsbee, Austan",65,CLO,1500,65,CLO,4002,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
42117-81,Platform Competition ⑤,Winter,2022,"Monday, 6:00 -  9:00","Goolsbee, Austan",65,CLO,702,65,CLO,2000,65,CLO,N/A,65,CLO,N/A,65,CLO,4501,,,
42121-81,Merger & Acquisition Strategy,Winter,2022,"Wednesday, 6:00 -  9:00","Morrissette, Stephen",70,CLO,17111,70,CLO,23180,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
42130-01,Industry Analysis ⑤,Winter,2022,"Monday, 1:30 -  2:50","Kole, Stacey",26,4,0,30,CLO,26,30,CLO,N/A,30,CLO,N/A,26,4,N/A,,,
42130-02,Industry Analysis ⑤,Winter,2022,"Monday, 3:10 -  4:30","Kole, Stacey",11,19,0,15,15,0,15,15,N/A,15,15,N/A,14,16,0,,,
42715-01,Strategy Simulation: Creating Value in Complex and Ambiguous Settings,Winter,2022,"Monday, 8:30 - 11:30","Fitzgerald, Kathleen",30,18,0,48,CLO,1,48,CLO,N/A,48,CLO,N/A,48,CLO,50,,,
30000-01,Financial Accounting,Autumn,2021,"Monday, 8:30 - 11:30","Nikolaev, Valeri",0,70,N/A,0,70,N/A,70,CLO,0,70,CLO,2288,70,CLO,1740,,,
30000-02,Financial Accounting,Autumn,2021,"Monday, 1:30 -  4:30","Nikolaev, Valeri",1,69,0,2,68,0,64,6,0,70,CLO,2002,70,CLO,N/A,,,
30000-03,Financial Accounting,Autumn,2021,"Tuesday, 1:30 -  4:30","Nikolaev, Valeri",5,65,0,6,64,0,70,CLO,1605,70,CLO,4251,70,CLO,N/A,,,
30000-04,Financial Accounting,Autumn,2021,"Wednesday, 1:30 -  4:30","Granja, Joao",7,58,0,6,59,0,65,CLO,1841,65,CLO,3977,65,CLO,1648,,,
30000-05,Financial Accounting,Autumn,2021,"Thursday, 1:30 -  4:30","Beniluz, Yoel",1,64,0,1,64,N/A,44,21,0,65,CLO,1438,65,CLO,8000,,,
30000-06,Financial Accounting,Autumn,2021,"Friday, 8:30 - 11:30","Beniluz, Yoel",0,65,N/A,0,65,N/A,5,60,0,25,40,0,13,52,0,,,
30000-81,Financial Accounting,Autumn,2021,"Wednesday, 6:00 -  9:00","Granja, Joao",6,59,0,6,59,N/A,58,7,0,55,10,N/A,65,CLO,804,,,
30000-82,Financial Accounting,Autumn,2021,"Thursday, 6:00 -  9:00","Beniluz, Yoel",1,64,0,1,64,N/A,7,58,0,7,58,N/A,15,50,0,,,
30000-85,Financial Accounting,Autumn,2021,"Saturday, 9:00 - 12:00","Granja, Joao",9,56,0,10,55,0,60,5,0,55,10,0,52,13,0,,,
30116-01,Accounting and Financial Analysis,Autumn,2021,"Tuesday, 1:30 -  4:30","Christensen, Hans",6,59,0,8,57,0,44,21,0,48,17,0,47,18,0,,,
30116-02,Accounting and Financial Analysis,Autumn,2021,"Wednesday, 1:30 -  4:30","Christensen, Hans",4,61,0,5,60,0,25,40,0,32,33,0,27,38,N/A,,,
30116-81,Accounting and Financial Analysis,Autumn,2021,"Tuesday, 6:00 -  9:00","Christensen, Hans",31,34,0,31,34,0,41,24,0,40,25,N/A,42,23,0,,,
30118-01,Taxes and Business Strategy,Autumn,2021,"Friday, 8:30 - 11:30","Erickson, Merle",19,46,0,18,47,0,20,45,0,21,44,0,21,44,0,,,
30118-02,Taxes and Business Strategy,Autumn,2021,"Friday, 1:30 -  4:30","Erickson, Merle",12,53,0,11,54,0,12,53,0,12,53,N/A,11,54,0,,,
30118-81,Taxes and Business Strategy,Autumn,2021,"Thursday, 6:00 -  9:00","Erickson, Merle",34,31,0,32,33,0,34,31,0,34,31,N/A,40,25,0,,,
30130-01,Financial Statement Analysis,Autumn,2021,"Tuesday, 1:30 -  4:30","Smith, Abbie",49,21,0,46,24,0,70,CLO,2500,70,CLO,N/A,70,CLO,2765,,,
30130-81,Financial Statement Analysis,Autumn,2021,"Monday, 6:00 -  9:00","Smith, Abbie",42,23,0,39,26,0,40,25,0,40,25,N/A,48,17,0,,,
30130-85,Financial Statement Analysis,Autumn,2021,"Saturday, 1:30 -  4:30","Smith, Abbie",46,19,0,43,22,0,49,16,0,49,16,N/A,60,5,0,,,
30600-60,Workshop in Accounting Research,Autumn,2021,"Thursday, 1:20 -  2:50","Granja, Joao; Samuels, Delphine",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,6,59,0,,,
30903-50,Topics in Empirical Accounting Research,Autumn,2021,"Wednesday, 3:15 -  6:45","Leuz, Christian",0,24,N/A,0,24,N/A,0,24,N/A,0,24,N/A,8,16,0,,,
31402-81,Leadership Practicum,Autumn,2021,"Wednesday, 6:00 -  9:00","Collins, Chris",13,17,0,13,17,0,14,16,0,13,17,N/A,17,13,0,,,
32100-81,Data Analysis with R and Python,Autumn,2021,"Friday, 6:00 -  9:00","Kattan, Lara",12,23,0,12,23,N/A,13,22,0,13,22,N/A,17,18,0,,,
33001-01,Microeconomics,Autumn,2021,"Tuesday, 1:30 -  4:30","Dizon-Ross, Rebecca",6,59,0,6,59,N/A,65,CLO,1809,65,CLO,5007,65,CLO,N/A,,,
33001-02,Microeconomics,Autumn,2021,"Wednesday, 8:30 - 11:30","Dizon-Ross, Rebecca",3,62,0,4,61,0,65,CLO,1013,65,CLO,5002,65,CLO,N/A,,,
33001-03,Microeconomics,Autumn,2021,"Friday, 8:30 - 11:30","Frankel, Alexander",0,65,N/A,0,65,N/A,36,29,0,32,33,0,24,41,0,,,
33001-04,Microeconomics,Autumn,2021,"Thursday, 1:30 -  4:30","Frankel, Alexander",1,64,0,2,63,0,34,31,0,65,CLO,1003,65,CLO,N/A,,,
33001-05,Microeconomics,Autumn,2021,"Monday, 8:30 - 11:30","Hornbeck, Richard",2,63,0,2,63,N/A,16,49,0,43,22,0,45,20,0,,,
33001-06,Microeconomics,Autumn,2021,"Monday, 1:30 -  4:30","Hornbeck, Richard",3,62,0,2,63,N/A,17,48,0,53,12,0,50,15,0,,,
33001-07,Microeconomics,Autumn,2021,"Wednesday, 1:30 -  4:30","Gibbs, Michael",4,61,0,4,61,N/A,65,CLO,1301,65,CLO,4000,65,CLO,N/A,,,
33001-81,Microeconomics,Autumn,2021,"Tuesday, 6:00 -  9:00","Dizon-Ross, Rebecca",15,50,0,16,49,0,42,23,0,37,28,N/A,65,CLO,1,,,
33001-82,Microeconomics,Autumn,2021,"Thursday, 6:00 -  9:00","Frankel, Alexander",4,61,0,3,62,N/A,9,56,0,8,57,N/A,7,58,N/A,,,
33001-83,Microeconomics,Autumn,2021,"Monday, 6:00 -  9:00","Hornbeck, Richard",7,58,0,8,57,0,21,44,0,21,44,N/A,33,32,0,,,
33001-85,Microeconomics,Autumn,2021,"Saturday, 9:00 - 12:00","Gibbs, Michael",15,50,0,14,51,0,50,15,0,47,18,N/A,48,17,0,,,
33002-01,Accelerated Microeconomics,Autumn,2021,"Monday, 8:30 - 11:30","Topel, Robert",4,61,0,4,61,N/A,65,CLO,81,65,CLO,300,61,4,0,,,
33002-81,Accelerated Microeconomics,Autumn,2021,"Monday, 6:00 -  9:00","Topel, Robert",6,59,0,7,58,0,12,53,0,12,53,N/A,13,52,0,,,
33040-01,Macroeconomics,Autumn,2021,"Friday, 1:30 -  4:30","Huizinga, John",12,53,0,9,56,N/A,11,54,0,12,53,0,13,52,0,,,
33040-81,Macroeconomics,Autumn,2021,"Wednesday, 6:00 -  9:00","Huizinga, John",23,42,0,21,44,0,21,44,N/A,21,44,N/A,24,41,0,,,
33040-85,Macroeconomics,Autumn,2021,"Saturday, 9:00 - 12:00","Huizinga, John",20,45,0,19,46,0,19,46,N/A,19,46,N/A,21,44,0,,,
33101-01,Advanced Microeconomic Analysis,Autumn,2021,"Wednesday, 8:30 - 11:30","Murphy, Kevin",27,38,0,28,37,0,65,CLO,4001,65,CLO,202,65,CLO,256,,,
33101-81,Advanced Microeconomic Analysis,Autumn,2021,"Tuesday, 6:00 -  9:00","Murphy, Kevin",11,54,0,9,56,N/A,18,47,0,18,47,N/A,39,26,0,,,
33310-81,Employment Law for Entrepreneurs and Managers,Autumn,2021,"Thursday, 6:00 -  9:00","Pogrund, David",13,52,0,15,50,0,19,46,0,20,45,0,19,46,0,,,
33501-01,International Commercial Policy,Autumn,2021,"Monday, 8:30 - 11:30","Adao, Rodrigo",20,45,0,20,45,0,21,44,0,25,40,0,22,43,0,,,
33502-01,International Financial Policy,Autumn,2021,"Tuesday, 8:30 - 11:30","Neiman, Brent",25,40,0,29,36,0,30,35,0,29,36,N/A,23,42,0,,,
33502-02,International Financial Policy,Autumn,2021,"Tuesday, 1:30 -  4:30","Neiman, Brent",23,42,0,32,33,0,48,17,0,57,8,0,56,9,0,,,
33502-81,International Financial Policy,Autumn,2021,"Tuesday, 6:00 -  9:00","Neiman, Brent",40,25,0,40,25,0,41,24,0,41,24,N/A,55,10,0,,,
33610-60,Applied Economics Workshop,Autumn,2021,"Wednesday, 1:20 -  2:50","McClellan, Andrew; Syverson, Chad",0,38,N/A,0,38,N/A,0,38,N/A,0,38,N/A,3,35,0,,,
33630-60,Workshop: Money and Banking,Autumn,2021,"Wednesday, 3:05 -  4:35","Kekre, Rohan; Neiman, Brent",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,,,
33650-60,Workshop in Macro and International Economics,Autumn,2021,"Monday,11:45 -  1:15","Adao, Rodrigo",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,2,63,0,,,
33903-50,Microeconomics Reading and Research Seminar ⑤,Autumn,2021,"Wednesday, 4:45 -  6:15","Budish, Eric; Notowidigdo, Matthew",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,,,
33914-50,Topics in Information Economics,Autumn,2021,"Wednesday, 8:30 - 11:30","Kamenica, Emir",3,35,0,3,35,N/A,3,35,N/A,3,35,N/A,10,28,0,,,
33921-50,Advanced Industrial Organization I,Autumn,2021,"Thursday, 8:30 - 11:30","Syverson, Chad",7,58,0,7,58,N/A,8,57,0,8,57,N/A,18,47,0,,,
33946-50,International Macroeconomics and Trade,Autumn,2021,"Monday, 8:30 - 11:30","Dingel, Jonathan",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,,,
34101-01,Entrepreneurial Finance and Private Equity,Autumn,2021,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",65,CLO,9000,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,21701,,,
34101-02,Entrepreneurial Finance and Private Equity,Autumn,2021,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",65,CLO,9259,65,CLO,10336,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
34101-85,Entrepreneurial Finance and Private Equity,Autumn,2021,"Saturday, 9:00 - 12:00","Kaplan, Steven",65,CLO,1002,65,CLO,1001,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
34102-01,New Venture Strategy,Autumn,2021,"Tuesday, 1:30 -  4:30","Schrager, James",65,CLO,7051,65,CLO,9406,65,CLO,N/A,65,CLO,N/A,65,CLO,13388,,,
34102-02,New Venture Strategy,Autumn,2021,"Monday, 1:30 -  4:30","Muth, Karl",36,29,0,43,22,0,44,21,0,44,21,N/A,47,18,0,,,
34102-85,New Venture Strategy,Autumn,2021,"Saturday, 9:00 - 12:00","Bunch, Gregory",27,38,0,23,42,0,25,40,0,25,40,N/A,30,35,0,,,
34103-85,Building the New Venture,Autumn,2021,"Saturday, 9:00 - 12:00","Sachs, Dan",21,24,0,18,27,0,18,27,N/A,18,27,N/A,16,29,0,,,
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2021,"Thursday, 1:30 -  4:30","Meadow, Scott",55,CLO,4021,55,CLO,9000,55,CLO,N/A,55,CLO,N/A,55,CLO,9001,,,
34106-81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2021,"Wednesday, 6:00 -  9:00","Meadow, Scott",55,CLO,3190,55,CLO,9000,55,CLO,N/A,55,CLO,N/A,55,CLO,13803,,,
34111-01,Entrepreneurial Selling,Autumn,2021,"Tuesday, 1:30 -  4:30","Alter, Michael",28,37,0,29,36,0,65,CLO,153,65,CLO,1694,65,CLO,102,,,
34111-81,Entrepreneurial Selling,Autumn,2021,"Tuesday, 6:00 -  9:00","Alter, Michael",70,CLO,50,63,7,0,67,3,0,66,4,N/A,70,CLO,1000,,,
34302-01,Entrepreneurship through Acquisition,Autumn,2021,"Thursday, 1:30 -  4:30","Agnew, Mark; O'Connor, Brian",70,CLO,2000,70,CLO,8000,70,CLO,N/A,70,CLO,N/A,70,CLO,7093,,,
34305-01,Private Equity Transactions ⑤,Autumn,2021,"Thursday, 3:00 -  6:00","Ritchie, Stephen",30,CLO,2507,30,CLO,3000,30,CLO,N/A,30,CLO,N/A,30,CLO,3000,,,
34705-01,Entrepreneurial Discovery,Autumn,2021,"Monday, 1:30 -  4:30","Tebbe, Mark",24,36,0,20,40,0,60,CLO,2000,60,CLO,N/A,60,CLO,3500,,,
34705-02,Entrepreneurial Discovery,Autumn,2021,"Wednesday, 1:30 -  4:30","Tebbe, Mark",14,46,0,20,40,0,60,CLO,2000,60,CLO,6159,60,CLO,3007,,,
34901-50,Asset Pricing I,Autumn,2021,"Wednesday, 8:30 - 11:30","Constantinides, George; Heaton, John",4,15,0,4,15,0,5,14,0,5,14,N/A,8,11,0,,,
34903-50,Corporate Finance I,Autumn,2021,"Monday, 3:00 -  6:00","Diamond, Douglas; He, Zhiguo",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,12,7,0,,,
35000-01,Investments,Autumn,2021,"Monday, 8:30 - 11:30","Heaton, John",4,61,0,4,61,0,8,57,0,8,57,N/A,9,56,0,,,
35000-02,Investments,Autumn,2021,"Monday, 1:30 -  4:30","Heaton, John",28,37,0,28,37,0,32,33,0,32,33,N/A,37,28,0,,,
35000-81,Investments,Autumn,2021,"Monday, 6:00 -  9:00","Heaton, John",54,16,0,55,15,0,55,15,N/A,55,15,N/A,70,CLO,3001,,,
35001-85,Introductory Finance,Autumn,2021,"Saturday, 1:30 -  4:30","Bhattacharya, Ayan",18,47,0,18,47,0,21,44,0,20,45,N/A,20,45,0,,,
35100-81,Financial Instruments,Autumn,2021,"Thursday, 6:00 -  9:00","Constantinides, George",18,47,0,16,49,N/A,16,49,N/A,17,48,0,17,48,0,,,
35100-85,Financial Instruments,Autumn,2021,"Saturday, 1:30 -  4:30","Constantinides, George",15,50,0,15,50,0,18,47,0,19,46,0,17,48,0,,,
35132-85,Advanced Models of Option Pricing and Credit Risk,Autumn,2021,"Saturday, 9:00 - 12:00","Veronesi, Pietro",15,50,0,15,50,0,16,49,0,15,50,N/A,11,54,N/A,,,
35200-01,Corporation Finance,Autumn,2021,"Tuesday, 8:30 - 11:30","Carlin, Bruce",62,3,0,64,1,0,65,CLO,1501,64,1,N/A,63,2,0,,,
35200-02,Corporation Finance,Autumn,2021,"Wednesday, 8:30 - 11:30","Carlin, Bruce",51,14,0,54,11,0,65,CLO,1677,65,CLO,2378,64,1,0,,,
35200-81,Corporation Finance,Autumn,2021,"Tuesday, 6:00 -  9:00","Carlin, Bruce",63,2,0,65,CLO,5,65,CLO,N/A,65,CLO,N/A,65,CLO,2791,,,
35201-01,Cases in Financial Management,Autumn,2021,"Wednesday, 8:30 - 11:30","Born, Laura",65,CLO,5246,65,CLO,10050,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
35201-02,Cases in Financial Management,Autumn,2021,"Wednesday, 1:30 -  4:30","Born, Laura",45,20,0,54,11,0,60,5,0,61,4,0,65,CLO,10000,,,
35215-01,Behavioral and Institutional Finance,Autumn,2021,"Thursday, 1:30 -  4:30","Vishny, Robert",29,36,0,32,33,0,34,31,0,35,30,0,32,33,0,,,
35215-81,Behavioral and Institutional Finance,Autumn,2021,"Wednesday, 6:00 -  9:00","Vishny, Robert",42,23,0,41,24,0,41,24,N/A,41,24,N/A,41,24,0,,,
35219-81,Chinese Economy and Financial Markets,Autumn,2021,"Wednesday, 6:00 -  9:00","He, Zhiguo",47,18,0,54,11,0,57,8,0,58,7,0,57,8,0,,,
35600-60,Seminar: Finance,Autumn,2021,"Tuesday, 1:20 -  2:50","Nelson, Scott; Vandeweyer, Quentin",1,64,0,1,64,N/A,2,63,0,2,63,N/A,14,51,0,,,
35601-60,Applied Theory Workshop,Autumn,2021,"Tuesday, 3:30 -  5:00","Staff, Staff",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,,,
35930-50,Research Seminar,Autumn,2021,"Monday, 8:30 - 11:30","He, Zhiguo; Koijen, Ralph; Zwick, Eric",1,23,0,1,23,N/A,1,23,N/A,1,23,N/A,5,19,0,,,
36106-01,Managerial Decision Modeling,Autumn,2021,"Thursday, 1:30 -  4:30","Ata, Baris",45,CLO,4400,45,CLO,4122,45,CLO,N/A,45,CLO,N/A,45,CLO,N/A,,,
36106-02,Managerial Decision Modeling,Autumn,2021,"Friday, 1:30 -  4:30","Ata, Baris",36,9,0,37,8,0,44,1,0,45,CLO,853,45,CLO,1000,,,
36106-85,Managerial Decision Modeling,Autumn,2021,"Saturday, 9:00 - 12:00","Ata, Baris",40,5,0,44,1,0,45,CLO,2237,45,CLO,N/A,45,CLO,5006,,,
36110-01,Application Development,Autumn,2021,"Thursday, 8:30 - 11:30","Betina, Raghu",30,CLO,200,30,CLO,127,30,CLO,4882,30,CLO,853,30,CLO,400,,,
36110-85,Application Development,Autumn,2021,"Saturday, 1:30 -  4:30","Betina, Raghu",21,9,0,18,12,N/A,23,7,0,23,7,N/A,30,CLO,1,,,
36600-60,Workshop in Operations/Management Science,Autumn,2021,"Tuesday,12:10 -  1:20","Lu, Haihao; Zhong, Yuan",7,31,0,7,31,N/A,7,31,N/A,7,31,N/A,8,30,0,,,
36900-50,Linear Programming,Autumn,2021,"Tuesday, 1:30 -  4:30","Xin, Linwei",1,18,0,1,18,N/A,4,15,0,4,15,N/A,6,13,0,,,
36906-50,Stochastic Processes,Autumn,2021,"Friday, 9:15 - 12:15","Ata, Baris",0,38,N/A,0,38,N/A,3,35,0,3,35,N/A,5,33,0,,,
37000-01,Marketing Strategy,Autumn,2021,"Friday, 8:30 - 11:30","Rao, Anita",3,62,0,3,62,N/A,38,27,0,53,12,0,45,20,0,,,
37000-02,Marketing Strategy,Autumn,2021,"Friday, 1:30 -  4:30","Rao, Anita",5,60,0,6,59,0,22,43,0,45,20,0,39,26,0,,,
37000-03,Marketing Strategy,Autumn,2021,"Wednesday, 8:30 - 11:30","Dietvorst, Berkeley",12,53,0,14,51,0,65,CLO,1839,65,CLO,4348,65,CLO,3502,,,
37000-04,Marketing Strategy,Autumn,2021,"Wednesday, 1:30 -  4:30","Dietvorst, Berkeley",21,44,0,23,42,0,65,CLO,2231,65,CLO,4427,65,CLO,2000,,,
37000-81,Marketing Strategy,Autumn,2021,"Thursday, 6:00 -  9:00","Rao, Anita",14,51,0,16,49,0,25,40,0,24,41,N/A,35,30,0,,,
37000-82,Marketing Strategy,Autumn,2021,"Wednesday, 6:00 -  9:00","Dietvorst, Berkeley",21,44,0,21,44,N/A,39,26,0,39,26,0,57,8,0,,,
37101-01,Consumer Behavior,Autumn,2021,"Thursday, 1:30 -  4:30","Bartels, Daniel",59,11,0,61,9,0,70,CLO,2777,70,CLO,1000,69,1,0,,,
37101-81,Consumer Behavior,Autumn,2021,"Thursday, 6:00 -  9:00","Bartels, Daniel",58,12,0,62,8,0,64,6,0,64,6,N/A,70,CLO,2500,,,
37200-85,New Products and Services,Autumn,2021,"Saturday, 1:30 -  4:30","Terrill, Craig",52,3,0,54,1,0,55,CLO,2009,55,CLO,N/A,50,5,0,,,
37208-01,Selling and Sales Management,Autumn,2021,"Wednesday, 1:30 -  4:30","Misra, Sanjog",10,30,0,13,27,0,16,24,0,17,23,0,18,22,0,,,
37301-81,Digital Marketing,Autumn,2021,"Friday, 6:00 -  9:00","Mohan, Lil",54,11,0,54,11,0,60,5,0,59,6,N/A,55,10,0,,,
37304-01,Digital and Algorithmic Marketing,Autumn,2021,"Wednesday, 8:30 - 11:30","Misra, Sanjog",20,20,0,17,23,0,19,21,0,23,17,0,22,18,0,,,
37601-60,Marketing Workshop,Autumn,2021,"Tuesday,10:40 - 12:00","Staff, Staff",1,37,0,2,36,0,2,36,N/A,2,36,N/A,15,23,0,,,
38001-01,Managing in Organizations,Autumn,2021,"Tuesday, 1:30 -  4:30","McGill, Ann",65,CLO,9000,65,CLO,17956,65,CLO,N/A,65,CLO,N/A,65,CLO,11651,,,
38001-02,Managing in Organizations,Autumn,2021,"Wednesday, 1:30 -  4:30","McGill, Ann",65,CLO,7351,65,CLO,14021,65,CLO,N/A,65,CLO,N/A,65,CLO,11311,,,
38001-81,Managing in Organizations,Autumn,2021,"Tuesday, 6:00 -  9:00","McGill, Ann",65,CLO,5000,65,CLO,8511,65,CLO,N/A,65,CLO,N/A,65,CLO,12500,,,
38002-01,Managerial Decision Making,Autumn,2021,"Friday, 8:30 - 11:30","Hastie, Reid",12,53,0,11,54,0,13,52,0,14,51,0,11,54,0,,,
38002-02,Managerial Decision Making,Autumn,2021,"Friday, 1:30 -  4:30","Hastie, Reid",19,46,0,22,43,0,26,39,0,27,38,0,27,38,0,,,
38002-85,Managerial Decision Making,Autumn,2021,"Saturday, 1:30 -  4:30","Hastie, Reid",41,24,0,39,26,0,46,19,0,44,21,N/A,45,20,0,,,
38101-81,Persuasion: Effective Business Communication ⑤,Autumn,2021,"Wednesday, 6:00 -  9:00","Weitzman, Hal",36,CLO,4653,36,CLO,9000,36,CLO,N/A,36,CLO,N/A,36,CLO,N/A,,,
38103-01,Strategies and Processes of Negotiation,Autumn,2021,"Wednesday, 8:30 - 11:30","Levine, Emma",55,CLO,1000,55,CLO,4231,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,,,
38103-02,Strategies and Processes of Negotiation,Autumn,2021,"Thursday, 8:30 - 11:30","Levine, Emma",55,CLO,555,55,CLO,3008,55,CLO,N/A,55,CLO,N/A,55,CLO,4500,,,
38103-03,Strategies and Processes of Negotiation,Autumn,2021,"Friday, 1:30 -  4:30","Talhelm, Thomas",34,21,0,38,17,0,55,CLO,1227,55,CLO,101,53,2,0,,,
38103-81,Strategies and Processes of Negotiation,Autumn,2021,"Wednesday, 6:00 -  9:00","Levine, Emma",40,15,0,47,8,0,50,5,0,49,6,0,55,CLO,4000,,,
38103-82,Strategies and Processes of Negotiation,Autumn,2021,"Thursday, 6:00 -  9:00","Talhelm, Thomas",55,CLO,972,55,CLO,301,55,CLO,N/A,55,CLO,N/A,55,CLO,11118,,,
38103-85,Strategies and Processes of Negotiation,Autumn,2021,"Saturday, 9:00 - 12:00","Talhelm, Thomas",51,4,0,48,7,0,52,3,0,51,4,N/A,53,2,0,,,
38116-01,Leading and Managing Teams,Autumn,2021,"Monday, 1:30 -  4:30","Zinchenko, Elena",33,32,0,37,28,0,46,19,0,58,7,0,48,17,0,,,
38123-01,Leadership Capital ⑤,Autumn,2021,"Tuesday, 1:30 -  4:30","Ginzel, Linda",28,37,0,37,28,0,40,25,0,45,20,0,47,18,0,,,
38123-81,Leadership Capital ⑤,Autumn,2021,"Tuesday, 6:00 -  9:00","Ginzel, Linda",19,46,0,21,44,0,22,43,0,22,43,N/A,21,44,0,,,
38125-01,Leadership at the Movies ⑤,Autumn,2021,"Thursday, 1:30 -  4:30","Ginzel, Linda",16,14,0,19,11,0,19,11,N/A,20,10,0,19,11,N/A,,,
38125-81,Leadership at the Movies ⑤,Autumn,2021,"Thursday, 6:00 -  9:00","Ginzel, Linda",14,16,0,16,14,0,17,13,0,17,13,N/A,14,16,N/A,,,
38601-60,Workshop in Behavioral Science,Autumn,2021,"Monday,10:00 - 11:30","Fishbach, Ayelet",0,65,N/A,0,65,N/A,0,65,N/A,1,64,0,5,60,0,,,
38901-50,Current Topics in Behavioral Science I,Autumn,2021,"Tuesday, 2:00 -  5:00","Shah, Anuj; Talhelm, Thomas",0,24,N/A,0,24,N/A,2,22,0,2,22,N/A,8,16,0,,,
38916-50,Behavioral Economics - Development & Observational Data,Autumn,2021,"Monday, 1:30 -  4:30","Pope, Devin",0,24,N/A,0,24,N/A,0,24,N/A,1,23,0,7,17,0,,,
39101-01,Technology Strategy,Autumn,2021,"Monday, 8:30 - 11:30","Knez, Marc",65,5,0,70,CLO,502,70,CLO,N/A,70,CLO,N/A,70,CLO,299,,,
39101-85,Technology Strategy,Autumn,2021,"Saturday, 1:30 -  4:30","Knez, Marc",53,17,0,56,14,0,62,8,0,62,8,0,63,7,0,,,
40000-01,Operations Management: Business Process Fundamentals,Autumn,2021,"Friday, 8:30 - 11:30","Caldentey, Rene",67,3,0,66,4,0,70,CLO,1700,69,1,0,59,11,0,,,
40000-81,Operations Management: Business Process Fundamentals,Autumn,2021,"Thursday, 6:00 -  9:00","Caldentey, Rene",70,CLO,10,65,5,0,70,CLO,1000,70,CLO,N/A,70,CLO,3050,,,
40101-01,Supply Chain Strategy and Practice,Autumn,2021,"Monday, 1:30 -  4:30","DeHoratius, Nicole",65,CLO,1,65,CLO,2000,65,CLO,N/A,65,CLO,N/A,65,CLO,3000,,,
40101-81,Supply Chain Strategy and Practice,Autumn,2021,"Monday, 6:00 -  9:00","DeHoratius, Nicole",65,CLO,637,65,CLO,6300,65,CLO,N/A,65,CLO,N/A,65,CLO,1250,,,
40206-01,Healthcare Business Analytics,Autumn,2021,"Monday, 1:30 -  4:30","Adelman, Dan",8,22,0,10,20,0,12,18,0,15,15,0,8,22,N/A,,,
40206-81,Healthcare Business Analytics,Autumn,2021,"Monday, 6:00 -  9:00","Adelman, Dan",9,21,0,13,17,0,14,16,0,14,16,N/A,16,14,0,,,
41000-01,Business Statistics,Autumn,2021,"Monday, 8:30 - 11:30","Liang, Tengyuan",6,59,0,6,59,N/A,65,CLO,0,65,CLO,200,65,CLO,1000,,,
41000-02,Business Statistics,Autumn,2021,"Monday, 1:30 -  4:30","Liang, Tengyuan",9,56,0,9,56,N/A,65,CLO,1127,65,CLO,7,65,CLO,2322,,,
41000-03,Business Statistics,Autumn,2021,"Monday, 1:30 -  4:30","Kaji, Tetsuya",0,65,N/A,1,64,0,65,CLO,0,64,1,0,65,CLO,867,,,
41000-04,Business Statistics,Autumn,2021,"Friday, 8:30 - 11:30","Polson, Nicholas",2,63,0,2,63,N/A,14,51,0,29,36,0,26,39,0,,,
